#paper_id, concept_id, tf
1202.1557v1,3596,1
1202.1557v1,9741,1
1202.1557v1,3606,6
1202.1557v1,3608,1
1202.1557v1,3609,23
1202.1557v1,3610,3
1202.1557v1,3099,1
1202.1557v1,3612,4
1202.1557v1,3613,2
1202.1557v1,3617,6
1202.1557v1,16418,7
1202.1557v1,1579,1
1202.1557v1,16437,1
1202.1557v1,3640,1
1202.1557v1,5694,1
1202.1557v1,6210,1
1202.1557v1,3510,1
1202.1557v1,3084,1
1202.1557v1,11960,1
1202.1557v1,15442,8
1202.1557v1,4698,2
1202.1557v1,1115,2
1202.1557v1,4704,1
1202.1557v1,3171,2
1202.1557v1,10348,5
1202.1557v1,4722,2
1202.1557v1,14969,1
1202.1557v1,3226,1
1202.1557v1,4634,1
1202.1557v1,4768,5
1202.1557v1,16411,2
1202.1557v1,3237,2
1202.1557v1,3242,4
1202.1557v1,3249,9
1202.1557v1,3251,2
1202.1557v1,3253,5
1202.1557v1,3256,1
1202.1557v1,714,1
1202.1557v1,13507,1
1202.1557v1,13509,1
1202.1557v1,3274,29
1202.1557v1,717,1
1202.1557v1,14545,1
1202.1557v1,3284,3
1202.1557v1,11990,1
1202.1557v1,3293,2
1202.1557v1,3298,1
1202.1557v1,13543,1
1202.1557v1,3835,1
1202.1557v1,5498,1
1202.1557v1,3627,1
1202.1557v1,15640,2
1202.1557v1,3357,6
1202.1557v1,2852,1
1202.1557v1,3365,1
1202.1557v1,3376,1
1202.1557v1,15676,1
1202.1557v1,1954,2
1202.1557v1,3467,2
1202.1557v1,7500,1
1202.1557v1,3405,3
1202.1557v1,3412,1
1202.1557v1,3413,9
1202.1557v1,3415,1
1202.1557v1,9048,1
1202.1557v1,3421,1
1202.1557v1,3433,4
1202.1557v1,9081,1
1202.1557v1,9082,3
1202.1557v1,3963,1
1202.1557v1,9086,1
1202.1557v1,3456,1
1202.1557v1,3457,2
1202.1557v1,11139,1
1202.1557v1,10123,1
1202.1557v1,1602,5
1202.1557v1,9102,1
1202.1557v1,2960,1
1202.1557v1,3479,2
1202.1557v1,16282,3
1202.1557v1,9115,2
1202.1557v1,5026,1
1202.1557v1,5028,1
1202.1557v1,1447,1
1202.1557v1,11176,1
1202.1557v1,3498,12
1202.1557v1,939,4
1202.1557v1,9132,1
1202.1557v1,12211,1
1202.1557v1,4534,1
1202.1557v1,4536,3
1202.1557v1,3002,1
1202.1557v1,4028,5
1202.1557v1,3518,2
1202.1557v1,11201,4
1202.1557v1,16324,1
1202.1557v1,9158,2
1202.1557v1,930,1
1202.1557v1,9167,1
1202.1557v1,12792,1
1202.1557v1,3540,2
1202.1557v1,11228,1
1202.1557v1,3549,1
1202.1557v1,3554,6
1202.1557v1,4067,4
1202.1557v1,1106,13
1202.1557v1,14318,1
1202.1557v1,11247,1
1202.1557v1,3056,1
1202.1557v1,3571,1
1202.1557v1,3575,1
1202.1557v1,3576,3
1202.1557v1,9214,6
1202.1557v1,10239,19
1104.3142v1,3712,1
1104.3142v1,15800,2
1104.3142v1,11086,1
1104.3142v1,3591,1
1104.3142v1,8584,4
1104.3142v1,14473,1
1104.3142v1,3083,1
1104.3142v1,3725,6
1104.3142v1,4366,1
1104.3142v1,14125,1
1104.3142v1,6034,4
1104.3142v1,13971,2
1104.3142v1,3732,3
1104.3142v1,3349,1
1104.3142v1,3478,1
1104.3142v1,15639,1
1104.3142v1,5891,1
1104.3142v1,111,7
1104.3142v1,3354,3
1104.3142v1,7599,2
1104.3142v1,4621,3
1104.3142v1,14425,1
1104.3142v1,5534,1
1104.3142v1,1440,3
1104.3142v1,4536,1
1104.3142v1,3365,3
1104.3142v1,5546,1
1104.3142v1,2987,1
1104.3142v1,11949,3
1104.3142v1,3503,1
1104.3142v1,6067,1
1104.3142v1,5811,1
1104.3142v1,7990,2
1104.3142v1,10807,1
1104.3142v1,5816,5
1104.3142v1,3770,1
1104.3142v1,12211,1
1104.3142v1,3900,2
1104.3142v1,3701,5
1104.3142v1,5826,9
1104.3142v1,3642,1
1104.3142v1,3908,3
1104.3142v1,3382,1
1104.3142v1,11974,14
1104.3142v1,3169,2
1104.3142v1,3274,2
1104.3142v1,4407,1
1104.3142v1,16429,1
1104.3142v1,3662,1
1104.3142v1,3663,10
1104.3142v1,3664,1
1104.3142v1,15825,1
1104.3142v1,13522,2
1104.3142v1,3284,4
1104.3142v1,6350,6
1104.3142v1,3415,2
1104.3142v1,3723,7
1104.3142v1,4615,1
1104.3142v1,3547,1
1104.3142v1,3421,4
1104.3142v1,3550,17
1104.3142v1,3168,2
1104.3142v1,3041,3
1104.3142v1,16483,1
1104.3142v1,13540,2
1104.3142v1,3559,2
1104.3142v1,3304,2
1104.3142v1,3639,1
1104.3142v1,11882,1
1104.3142v1,5996,2
1104.3142v1,14575,41
1104.3142v1,3432,1
1104.3142v1,4722,1
1104.3142v1,5651,1
1104.3142v1,8053,2
1104.3142v1,3689,1
1104.3142v1,6136,2
1104.3142v1,3835,5
1104.3142v1,3709,1
1104.3142v1,5758,7
1108.2404v3,5635,1
1108.2404v3,3077,5
1108.2404v3,3078,1
1108.2404v3,3591,1
1108.2404v3,9741,1
1108.2404v3,14509,3
1108.2404v3,3089,4
1108.2404v3,15902,1
1108.2404v3,15394,3
1108.2404v3,3621,1
1108.2404v3,1065,6
1108.2404v3,3629,1
1108.2404v3,3632,5
1108.2404v3,3645,2
1108.2404v3,3134,7
1108.2404v3,13895,17
1108.2404v3,4621,1
1108.2404v3,16299,1
1108.2404v3,13917,7
1108.2404v3,7265,1
1108.2404v3,16483,1
1108.2404v3,13925,1
1108.2404v3,3175,1
1108.2404v3,10347,1
1108.2404v3,111,5
1108.2404v3,1651,1
1108.2404v3,3701,1
1108.2404v3,118,3
1108.2404v3,15993,7
1108.2404v3,6272,1
1108.2404v3,3723,16
1108.2404v3,3725,51
1108.2404v3,3727,8
1108.2404v3,13971,1
1108.2404v3,4246,2
1108.2404v3,2927,2
1108.2404v3,4766,3
1108.2404v3,14499,11
1108.2404v3,3243,58
1108.2404v3,11949,10
1108.2404v3,11951,1
1108.2404v3,5298,30
1108.2404v3,3256,1
1108.2404v3,14523,2
1108.2404v3,3775,2
1108.2404v3,3274,2
1108.2404v3,6350,1
1108.2404v3,2255,4
1108.2404v3,13523,3
1108.2404v3,15572,1
1108.2404v3,6869,2
1108.2404v3,2265,9
1108.2404v3,8411,1
1108.2404v3,6880,1
1108.2404v3,6891,2
1108.2404v3,2089,1
1108.2404v3,3835,3
1108.2404v3,13565,16
1108.2404v3,13566,38
1108.2404v3,213,3
1108.2404v3,4357,1
1108.2404v3,13579,1
1108.2404v3,4366,1
1108.2404v3,16429,5
1108.2404v3,3349,7
1108.2404v3,3354,5
1108.2404v3,284,78
1108.2404v3,3365,89
1108.2404v3,16168,1
1108.2404v3,4913,1
1108.2404v3,3897,3
1108.2404v3,3900,4
1108.2404v3,4432,2
1108.2404v3,3415,21
1108.2404v3,3421,22
1108.2404v3,3432,1
1108.2404v3,5487,3
1108.2404v3,16251,1
1108.2404v3,12680,4
1108.2404v3,5514,2
1108.2404v3,10123,1
1108.2404v3,3478,1
1108.2404v3,3483,1
1108.2404v3,5534,1
1108.2404v3,14491,3
1108.2404v3,5542,2
1108.2404v3,2987,13
1108.2404v3,3501,2
1108.2404v3,3503,115
1108.2404v3,5552,4
1108.2404v3,5553,2
1108.2404v3,1461,2
1108.2404v3,2998,1
1108.2404v3,13241,1
1108.2404v3,3169,15
1108.2404v3,3535,8
1108.2404v3,1443,2
1108.2404v3,16340,1
1108.2404v3,3034,6
1108.2404v3,15323,1
1108.2404v3,3039,1
1108.2404v3,3041,20
1108.2404v3,999,1
1108.2404v3,16363,1
1108.2404v3,15343,1
1108.2404v3,3569,1
1108.2404v3,3061,1
1108.2404v3,2039,2
1104.2850v1,3328,1
1104.2850v1,13547,8
1104.2850v1,4613,1
1104.2850v1,3338,1
1104.2850v1,3723,5
1104.2850v1,3725,1
1104.2850v1,4621,1
1104.2850v1,3093,4
1104.2850v1,2927,3
1104.2850v1,284,1
1104.2850v1,3632,9
1104.2850v1,3035,1
1104.2850v1,3365,24
1104.2850v1,15783,3
1104.2850v1,3503,1
1104.2850v1,3376,1
1104.2850v1,5298,4
